Make,Model,Accidents,Avg_Fatal_Injuries,Avg_Serious_Injuries,Destruction_Rate,Serious_Fatal_Fraction
AMERICAN CHAMPION AIRCRAFT,8GCBC,14,0.07142857142857142,0.21428571428571427,0.0,0.2857142857142857
BEECH,A23,10,0.2,0.6,0.0,0.8
DIAMOND AIRCRAFT IND INC,DA 20 C1,11,0.0,0.0,0.0,0.0
AMERICAN LEGEND AIRCRAFT CO,AL3,13,0.0,0.07692307692307693,0.0,0.07692307692307693
AMERICAN CHAMPION AIRCRAFT,8KCAB,12,0.25,0.16666666666666666,0.0,0.41666666666666663
AIR TRACTOR INC,AT-502,13,0.07692307692307693,0.3076923076923077,0.0,0.38461538461538464
AVIAT AIRCRAFT INC,A-1B,21,0.0,0.3333333333333333,0.0,0.3333333333333333
DEHAVILLAND,DHC-2,10,0.4,0.9,0.0,1.3
AIRBUS,A319,11,0.0,0.36363636363636365,0.0,0.36363636363636365
BEECH,B19,12,0.0,0.16666666666666666,0.0,0.16666666666666666
Schweizer,SGS 2-32,10,0.1,0.4,0.0,0.5
AIR TRACTOR INC,AT-502B,25,0.08,0.12,0.0,0.2
Taylorcraft,F-19,16,0.125,0.3125,0.0,0.4375
Aviat,A-1B,29,0.10344827586206896,0.06896551724137931,0.0,0.1724137931034483
Temco,GC-1B,12,0.08333333333333333,0.16666666666666666,0.0,0.25
Aviat,A-1A,11,0.09090909090909091,0.2727272727272727,0.0,0.36363636363636365
PIPER,PA-18-150,134,0.08208955223880597,0.19402985074626866,0.007462686567164179,0.27611940298507465
BOEING,777,83,0.0,0.27710843373493976,0.012048192771084338,0.27710843373493976
CESSNA,A185F,76,0.21052631578947367,0.18421052631578946,0.013157894736842105,0.39473684210526316
PIPER,PA 18-150,57,0.14035087719298245,0.21052631578947367,0.017543859649122806,0.3508771929824561
CESSNA,150L,50,0.24,0.3,0.02,0.54
BOEING,767,48,0.0,1.25,0.020833333333333332,1.25
CESSNA,150M,46,0.2608695652173913,0.1956521739130435,0.021739130434782608,0.4565217391304348
CESSNA,172RG,45,0.08888888888888889,0.2,0.022222222222222223,0.2888888888888889
PIPER,PA-22-150,44,0.1590909090909091,0.2727272727272727,0.022727272727272728,0.43181818181818177
Boeing,727-200,41,1.2682926829268293,0.3170731707317073,0.024390243902439025,1.5853658536585367
CESSNA,140,80,0.1625,0.2125,0.025,0.375
Cessna,A185,36,0.19444444444444445,0.4722222222222222,0.027777777777777776,0.6666666666666666
Mcdonnell Douglas,DC-10-10,35,3.1714285714285713,1.7142857142857142,0.02857142857142857,4.885714285714285
BELLANCA,7GCBC,34,0.3235294117647059,0.20588235294117646,0.029411764705882353,0.5294117647058824
BOEING,747,65,0.09230769230769231,1.1076923076923078,0.03076923076923077,1.2000000000000002
CESSNA,T210L,32,0.25,0.15625,0.03125,0.40625
CESSNA,180,127,0.09448818897637795,0.1968503937007874,0.031496062992125984,0.2913385826771654
CESSNA,A185,31,0.12903225806451613,0.0,0.03225806451612903,0.12903225806451613
Mcdonnell Douglas,DC-9-82,31,5.096774193548387,0.1935483870967742,0.03225806451612903,5.290322580645161
BOEING,A75N1(PT17),30,0.06666666666666667,0.2,0.03333333333333333,0.26666666666666666
Cessna,140A,29,0.13793103448275862,0.034482758620689655,0.034482758620689655,0.1724137931034483
BOEING,737,435,3.098850574712644,0.8735632183908046,0.034482758620689655,3.972413793103448
Piper,PA-18-160,29,0.034482758620689655,0.06896551724137931,0.034482758620689655,0.10344827586206896
ROBINSON HELICOPTER,R22 BETA,110,0.17272727272727273,0.4,0.03636363636363636,0.5727272727272728
CESSNA,172H,27,0.2222222222222222,0.1111111111111111,0.037037037037037035,0.3333333333333333
MOONEY,M20F,27,0.5925925925925926,0.1111111111111111,0.037037037037037035,0.7037037037037037
AIR TRACTOR INC,AT-301,27,0.07407407407407407,0.2222222222222222,0.037037037037037035,0.2962962962962963
Cessna,A185E,53,0.09433962264150944,0.11320754716981132,0.03773584905660377,0.20754716981132076
Mcdonnell Douglas,MD-82,26,1.3846153846153846,4.230769230769231,0.038461538461538464,5.615384615384615
Aeronca,15AC,26,0.038461538461538464,0.15384615384615385,0.038461538461538464,0.19230769230769232
CESSNA,207,25,0.84,0.4,0.04,1.24
AIRBUS,A320,74,2.2972972972972974,0.13513513513513514,0.04054054054054054,2.4324324324324325
Boeing,747-400,24,3.4583333333333335,1.7916666666666667,0.041666666666666664,5.25
CESSNA,172P,92,0.11956521739130435,0.16304347826086957,0.043478260869565216,0.28260869565217395
DIAMOND AIRCRAFT IND INC,DA 40,23,0.30434782608695654,0.13043478260869565,0.043478260869565216,0.4347826086956522
AERONCA,11AC,23,0.17391304347826086,0.30434782608695654,0.043478260869565216,0.4782608695652174
Mcdonnell Douglas,DC-10-30,23,0.782608695652174,0.9565217391304348,0.043478260869565216,1.7391304347826089
BELL,47G,22,0.18181818181818182,0.2727272727272727,0.045454545454545456,0.45454545454545453
CHAMPION,7ECA,22,0.3181818181818182,0.09090909090909091,0.045454545454545456,0.40909090909090906
Cessna,180A,43,0.046511627906976744,0.023255813953488372,0.046511627906976744,0.06976744186046512
AERONCA,7AC,63,0.19047619047619047,0.2698412698412698,0.047619047619047616,0.4603174603174603
Let,BLANIK L-13,21,0.0,0.14285714285714285,0.047619047619047616,0.14285714285714285
CESSNA,150F,42,0.2619047619047619,0.23809523809523808,0.047619047619047616,0.5
CESSNA,172S,185,0.24864864864864866,0.14054054054054055,0.04864864864864865,0.3891891891891892
CESSNA,170B,80,0.125,0.2,0.05,0.325
CESSNA,560XL,20,0.35,0.0,0.05,0.35
MCDONNELL DOUGLAS HELICOPTER,369E,20,0.15,0.2,0.05,0.35
PIPER,PA-18,39,0.15384615384615385,0.23076923076923078,0.05128205128205128,0.38461538461538464
PIPER,PA-28R-180,19,0.631578947368421,0.21052631578947367,0.05263157894736842,0.8421052631578947
CESSNA,172L,19,0.3684210526315789,0.3157894736842105,0.05263157894736842,0.6842105263157894
PIPER,PA-18-135,19,0.21052631578947367,0.3157894736842105,0.05263157894736842,0.5263157894736842
CESSNA,150J,19,0.3157894736842105,0.47368421052631576,0.05263157894736842,0.7894736842105263
Hiller,UH-12B,19,0.0,0.21052631578947367,0.05263157894736842,0.21052631578947367
Balloon Works,FIREFLY 7,37,0.08108108108108109,0.7297297297297297,0.05405405405405406,0.8108108108108107
Piper,PA18,55,0.03636363636363636,0.18181818181818182,0.05454545454545454,0.2181818181818182
PIPER,PA-28-180,73,0.3698630136986301,0.5068493150684932,0.0547945205479452,0.8767123287671232
PIPER,PA24,18,0.2777777777777778,0.2222222222222222,0.05555555555555555,0.5
BELL,206L-3,18,0.1111111111111111,0.5555555555555556,0.05555555555555555,0.6666666666666667
PIPER,PA-28,18,0.0,0.3333333333333333,0.05555555555555555,0.3333333333333333
BELLANCA,8GCBC,18,0.1111111111111111,0.1111111111111111,0.05555555555555555,0.2222222222222222
ROBINSON HELICOPTER COMPANY,R22,18,0.1111111111111111,0.2222222222222222,0.05555555555555555,0.3333333333333333
PIPER,PA-28-181,53,0.39622641509433965,0.1320754716981132,0.05660377358490566,0.5283018867924528
